,0
1982-01-01,1.68
1982-02-01,0.15
1982-03-01,0.55
1982-04-01,0.53
1982-05-01,0.91
1982-06-01,1.22
1982-07-01,2.08
1982-08-01,4.06
1982-09-01,4.15
1982-10-01,2.94
1982-11-01,2.2
1982-12-01,2.34
1983-01-01,2.34
1983-02-01,2.33
1983-03-01,1.85
1983-04-01,1.89
1983-05-01,1.88
1983-06-01,1.71
1983-07-01,1.93
1983-08-01,2.11
1983-09-01,2.29
1983-10-01,2.55
1983-11-01,2.58
1983-12-01,2.47
1984-01-01,2.41
1984-02-01,2.38
1984-03-01,2.43
1984-04-01,2.56
1984-05-01,3.19
1984-06-01,3.3
1984-07-01,2.83
1984-08-01,1.82
1984-09-01,1.73
1984-10-01,2.04
1984-11-01,2.65
1984-12-01,3.16
1985-01-01,3.36
1985-02-01,2.95
1985-03-01,3.03
1985-04-01,3.21
1985-05-01,3.11
1985-06-01,2.98
1985-07-01,2.99
1985-08-01,2.96
1985-09-01,3.04
1985-10-01,2.84
1985-11-01,2.31
1985-12-01,1.93
1986-01-01,1.89
1986-02-01,1.41
1986-03-01,1.01
1986-04-01,1.06
1986-05-01,1.37
1986-06-01,1.4
1986-07-01,1.3
1986-08-01,1.48
1986-09-01,2.1
1986-10-01,2.1
1986-11-01,1.75
1986-12-01,1.43
1987-01-01,1.51
1987-02-01,1.5
1987-03-01,1.48
1987-04-01,2.21
1987-05-01,2.77
1987-06-01,2.55
1987-07-01,2.57
1987-08-01,2.53
1987-09-01,2.8
1987-10-01,3.17
1987-11-01,2.97
1987-12-01,3.03
1988-01-01,2.66
1988-02-01,2.37
1988-03-01,2.5
1988-04-01,2.64
1988-05-01,2.63
1988-06-01,2.26
1988-07-01,2.11
1988-08-01,1.96
1988-09-01,1.5
1988-10-01,1.2
1988-11-01,0.93
1988-12-01,0.76
1989-01-01,0.53
1989-02-01,0.33
1989-03-01,0.22
1989-04-01,0.21
1989-05-01,0.12
1989-06-01,-0.16
1989-07-01,-0.13
1989-08-01,-0.06
1989-09-01,0.18
1989-10-01,0.11
1989-11-01,-0.07
1989-12-01,-0.04
1990-01-01,0.31
1990-02-01,0.47
1990-03-01,0.42
1990-04-01,0.75
1990-05-01,0.75
1990-06-01,0.49
1990-07-01,0.6
1990-08-01,1.06
1990-09-01,1.3
1990-10-01,1.32
1990-11-01,1.1
1990-12-01,1.13
1991-01-01,1.68
1991-02-01,1.74
1991-03-01,2.02
1991-04-01,2.21
1991-05-01,2.43
1991-06-01,2.53
1991-07-01,2.52
1991-08-01,2.4
1991-09-01,2.28
1991-10-01,2.38
1991-11-01,2.73
1991-12-01,2.9
1992-01-01,3.13
1992-02-01,3.39
1992-03-01,3.4
1992-04-01,3.64
1992-05-01,3.67
1992-06-01,3.52
1992-07-01,3.57
1992-08-01,3.39
1992-09-01,3.45
1992-10-01,3.66
1992-11-01,3.67
1992-12-01,3.48
1993-01-01,3.53
1993-02-01,3.27
1993-03-01,2.96
1993-04-01,3.04
1993-05-01,3.01
1993-06-01,2.82
1993-07-01,2.69
1993-08-01,2.59
1993-09-01,2.35
1993-10-01,2.24
1993-11-01,2.54
1993-12-01,2.65
1994-01-01,2.71
1994-02-01,2.64
1994-03-01,2.89
1994-04-01,3.19
1994-05-01,2.92
1994-06-01,2.85
1994-07-01,2.84
1994-08-01,2.62
1994-09-01,2.71
1994-10-01,2.64
1994-11-01,2.51
1994-12-01,2.05
1995-01-01,1.88
1995-02-01,1.53
1995-03-01,1.29
1995-04-01,1.22
1995-05-01,0.79
1995-06-01,0.53
1995-07-01,0.69
1995-08-01,0.92
1995-09-01,0.76
1995-10-01,0.6
1995-11-01,0.41
1995-12-01,0.42
1996-01-01,0.5
1996-02-01,0.84
1996-03-01,1.17
1996-04-01,1.42
1996-05-01,1.58
1996-06-01,1.68
1996-07-01,1.57
1996-08-01,1.45
1996-09-01,1.59
1996-10-01,1.41
1996-11-01,1.03
1996-12-01,1.26
1997-01-01,1.41
1997-02-01,1.28
1997-03-01,1.41
1997-04-01,1.58
1997-05-01,1.51
1997-06-01,1.42
1997-07-01,1.03
1997-08-01,1.02
1997-09-01,1.12
1997-10-01,0.92
1997-11-01,0.59
1997-12-01,0.5
1998-01-01,0.37
1998-02-01,0.34
1998-03-01,0.49
1998-04-01,0.55
1998-05-01,0.51
1998-06-01,0.37
1998-07-01,0.37
1998-08-01,0.3
1998-09-01,0.07
1998-10-01,0.46
1998-11-01,0.3
1998-12-01,0.15
1999-01-01,0.28
1999-02-01,0.44
1999-03-01,0.67
1999-04-01,0.78
1999-05-01,0.91
1999-06-01,1.18
1999-07-01,1.11
1999-08-01,1.07
1999-09-01,1.09
1999-10-01,1.09
1999-11-01,0.81
1999-12-01,0.92
2000-01-01,1.16
2000-02-01,0.79
2000-03-01,0.39
2000-04-01,0.17
2000-05-01,0.45
2000-06-01,0.24
2000-07-01,-0.09
2000-08-01,-0.45
2000-09-01,-0.38
2000-10-01,-0.56
2000-11-01,-0.64
2000-12-01,-0.7
2001-01-01,-0.12
2001-02-01,0.09
2001-03-01,0.35
2001-04-01,1.18
2001-05-01,1.69
2001-06-01,1.72
2001-07-01,1.64
2001-08-01,1.53
2001-09-01,2.04
2001-10-01,2.37
2001-11-01,2.75
2001-12-01,3.37
2002-01-01,3.35
2002-02-01,3.15
2002-03-01,3.46
2002-04-01,3.47
2002-05-01,3.4
2002-06-01,3.19
2002-07-01,2.94
2002-08-01,2.61
2002-09-01,2.21
2002-10-01,2.33
2002-11-01,2.79
2002-12-01,2.82
2003-01-01,2.86
2003-02-01,2.72
